Full Name                bats  throws  weight  height
-----------------------  ----  ------  ------  ------
David Aardsma            R     R       215     75    
Tommie Aaron             R     R       190     75    
Don Aase                 R     R       190     75    
Fernando Abad            L     L       235     74    
Cory Abbott              R     R       217     74    
Glenn Abbott             R     R       200     78    
Jeff Abbott              R     L       190     74    
Jim Abbott               L     L       200     75    
Kyle Abbott              L     L       200     76    
Al Aber                  L     L       195     74    
Reggie Abercrombie       R     R       215     75    
Ted Abernathy            R     L       210     74    
Ted Abernathy            R     R       215     76    
Harry Ables              R     L       200     74    
Shawn Abner              R     R       190     73    
CJ Abrams                L     R       191     74    
Albert Abreu             R     R       190     74    
Bryan Abreu              R     R       225     73    
Jose Abreu               R     R       235     75    
Domingo Acevedo          R     R       240     79    
Juan Acevedo             R     R       245     74    
Alfredo Aceves           R     R       205     74    
A. J. Achter             R     R       215     77    
Jim Acker                R     R       210     74    
Tom Acker                R     R       215     76    
Dustin Ackley            L     R       205     73    
Fritz Ackley             L     R       202     73    
Ed Acosta                B     R       215     77    
Manny Acosta             R     R       215     76    
Mark Acre                R     R       235     80    
Garrett Acton            L     R       215     74    
Jason Adam               R     R       229     75    
Willy Adames             R     R       214     73    
Austin Adams             R     R       220     75    
Bob Adams                R     R       200     74    
Chance Adams             R     R       215     73    
David Adams              R     R       205     74    
Lane Adams               R     R       190     76    
Matt Adams               L     R       263     75    
Mike Adams               R     R       210     77    
Riley Adams              R     R       260     76    
Willie Adams             R     R       215     79    
Joe Adcock               R     R       210     76    
Nathan Adcock            R     R       235     76    
Jim Adduci               L     L       200     77    
Jim Adduci               L     L       210     74    
Jo Adell                 R     R       215     75    
Dewey Adkins             R     R       195     74    
Steve Adkins             R     L       210     78    
Tim Adleman              R     R       225     77    
Joan Adon                R     R       245     74    
Ehire Adrianza           B     R       198     73    
Jeremy Affeldt           L     L       225     76    
Harry Agganis            L     L       200     74    
Juan Agosto              L     L       190     74    
Dario Agrazal            R     R       225     74    
Jesus Aguilar            R     R       277     75    
Rick Aguilera            R     R       195     76    
Hank Aguirre             R     L       205     76    
Pat Ahearne              R     R       195     75    
Nick Ahmed               R     R       201     74    
Willie Aikens            L     R       220     75    
